[ 2011-10-22T17:21:15+08:00 ] NOTIC: [8] Undefined variable: array 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:22+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:39:23+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:23+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:39:23+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:39:23+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:41:20+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:41:20+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:41:20+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:41:20+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:16+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:16+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:16+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:16+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:29+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:29+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:29+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:29+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:30+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:30+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:30+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:30+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:31+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:31+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:31+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:31+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:34+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:34+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:34+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:34+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:35+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:35+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:35+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:35+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:36+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:36+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:36+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:36+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:37+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 1 670971eb74474024eec675f2baeab9ae.php 第 13 行.
[ 2011-10-22T17:42:38+08:00 ] NOTIC: [8] Uninitialized string offset: 2 670971eb74474024eec675f2baeab9ae.php 第 14 行.
[ 2011-10-22T17:48:16+08:00 ] NOTIC: [8] Undefined variable: a 670971eb74474024eec675f2baeab9ae.php 第 6 行.
[ 2011-10-22T17:48:18+08:00 ] NOTIC: [8] Undefined variable: a 670971eb74474024eec675f2baeab9ae.php 第 6 行.
